tid,volume,50,100,200,500,1500,3000,5000,10000,20000,0
14227484,2999.9992695454503,False,False,False,False,False,True,False,False,False,False
14227486,54.99915274698585,False,True,False,False,False,False,False,False,False,False
14227489,0.9996002254606405,True,False,False,False,False,False,False,False,False,False
14227490,100.99946017434455,False,False,True,False,False,False,False,False,False,False
14227491,2999.999954234889,False,False,False,False,False,True,False,False,False,False
14227493,4968.996195,False,False,False,False,False,False,True,False,False,False
14227494,31.0035579912618,True,False,False,False,False,False,False,False,False,False
14227496,200.00012945557123,False,False,False,True,False,False,False,False,False,False
14227497,18.9994557706492,True,False,False,False,False,False,False,False,False,False
14227498,249.99914276360096,False,False,False,True,False,False,False,False,False,False
14227499,249.99914276360096,False,False,False,True,False,False,False,False,False,False
14227500,1000.0006472778562,False,False,False,False,True,False,False,False,False,False
14227507,99.99962421552335,False,True,False,False,False,False,False,False,False,False
14227515,19.999338830442642,True,False,False,False,False,False,False,False,False,False
14227521,41.06921738970278,True,False,False,False,False,False,False,False,False,False
14227523,7.039207687369335,True,False,False,False,False,False,False,False,False,False
14227535,782.8776065705908,False,False,False,False,True,False,False,False,False,False
14227536,217.2095733720677,False,False,False,True,False,False,False,False,False,False
14227554,783.8591246623446,False,False,False,False,True,False,False,False,False,False
14227555,766.1424343822297,False,False,False,False,True,False,False,False,False,False
14227560,863.2293555748203,False,False,False,False,True,False,False,False,False,False
14227561,136.77005388817093,False,False,True,False,False,False,False,False,False,False
14227570,39.99924768560072,True,False,False,False,False,False,False,False,False,False
14227571,9.099217592914774,True,False,False,False,False,False,False,False,False,False
14227581,0.9990120003061203,True,False,False,False,False,False,False,False,False,False
14227582,38.192765153836,True,False,False,False,False,False,False,False,False,False
14227583,249.99966046123598,False,False,False,True,False,False,False,False,False,False
14227584,691.7297049728595,False,False,False,False,True,False,False,False,False,False
14227585,149.99971418586006,False,False,True,False,False,False,False,False,False,False
14227588,10.707235199569208,True,False,False,False,False,False,False,False,False,False
14227589,139.9999785233713,False,False,True,False,False,False,False,False,False,False
14227590,9.249077303489937,True,False,False,False,False,False,False,False,False,False
14227591,3.9991244348911565,True,False,False,False,False,False,False,False,False,False
14227595,99.99948087943426,False,True,False,False,False,False,False,False,False,False
14227596,178.5990598970746,False,False,True,False,False,False,False,False,False,False
14227597,23.2406339803704,True,False,False,False,False,False,False,False,False,False
14227599,980.9200632936871,False,False,False,False,True,False,False,False,False,False
14227600,1577.3987280441488,False,False,False,False,False,True,False,False,False,False
14227601,1148.378077041047,False,False,False,False,True,False,False,False,False,False
14227602,293.30302827739865,False,False,False,True,False,False,False,False,False,False
14227603,93.74975880621734,False,True,False,False,False,False,False,False,False,False
14227604,349.99952904892405,False,False,False,True,False,False,False,False,False,False
14227605,1599.9999480000001,False,False,False,False,False,True,False,False,False,False
14227606,9.999168095684139,True,False,False,False,False,False,False,False,False,False
14227607,879.538579754669,False,False,False,False,True,False,False,False,False,False
14227608,970.6753708454739,False,False,False,False,True,False,False,False,False,False
14227609,1114.295706327825,False,False,False,False,True,False,False,False,False,False
14227610,928.0845812548856,False,False,False,False,True,False,False,False,False,False
14227611,937.9951090615175,False,False,False,False,True,False,False,False,False,False
14227612,1102.4177017525853,False,False,False,False,True,False,False,False,False,False
14227613,1579.8528142924558,False,False,False,False,False,True,False,False,False,False
14227614,1054.886645477781,False,False,False,False,True,False,False,False,False,False
14227615,1481.7941148500336,False,False,False,False,True,False,False,False,False,False
14227616,950.4593088672829,False,False,False,False,True,False,False,False,False,False
14227617,308.38920499782324,False,False,False,True,False,False,False,False,False,False
14227622,795.3002458706427,False,False,False,False,True,False,False,False,False,False
14227623,744.7991695102304,False,False,False,False,True,False,False,False,False,False
14227624,392.2109979526728,False,False,False,True,False,False,False,False,False,False
14227625,6067.689312181365,False,False,False,False,False,False,False,True,False,False
14227626,18.90925305367288,True,False,False,False,False,False,False,False,False,False
14227627,49.99913245121934,True,False,False,False,False,False,False,False,False,False
14227630,365.3994170623518,False,False,False,True,False,False,False,False,False,False
14227631,935.7835298468895,False,False,False,False,True,False,False,False,False,False
14227632,1654.7130879668896,False,False,False,False,False,True,False,False,False,False
14227633,1247.72059060425,False,False,False,False,True,False,False,False,False,False
14227634,788.2425318421297,False,False,False,False,True,False,False,False,False,False
14227635,386.20061833193097,False,False,False,True,False,False,False,False,False,False
14227636,926.8887591565056,False,False,False,False,True,False,False,False,False,False
14227637,723.886343542958,False,False,False,False,True,False,False,False,False,False
14227638,1637.9060776500971,False,False,False,False,False,True,False,False,False,False
14227639,868.4670121539225,False,False,False,False,True,False,False,False,False,False
14227640,1654.752718702426,False,False,False,False,False,True,False,False,False,False
14227641,1273.4962332548148,False,False,False,False,True,False,False,False,False,False
14227642,1259.6451244420057,False,False,False,False,True,False,False,False,False,False
14227643,35023.926552576355,False,False,False,False,False,False,False,False,False,True
14227644,41252.97044493723,False,False,False,False,False,False,False,False,False,True
14227645,99.4293454023436,False,True,False,False,False,False,False,False,False,False
14227646,19.999037940207177,True,False,False,False,False,False,False,False,False,False
14227647,299.999954884348,False,False,False,True,False,False,False,False,False,False
14227648,29.999190824973113,True,False,False,False,False,False,False,False,False,False
14227650,49.999744468224414,True,False,False,False,False,False,False,False,False,False
14227652,1.5993950632790515,True,False,False,False,False,False,False,False,False,False
14227653,31.99945326881755,True,False,False,False,False,False,False,False,False,False
14227654,149.99985687816368,False,False,True,False,False,False,False,False,False,False
14227655,275.1238862399,False,False,False,True,False,False,False,False,False,False
14227656,1058.931637149138,False,False,False,False,True,False,False,False,False,False
14227657,539.3623759311575,False,False,False,False,True,False,False,False,False,False
14227658,126.58112503702095,False,False,True,False,False,False,False,False,False,False
14227659,138.541026360688,False,False,True,False,False,False,False,False,False,False
14227660,61.45877845112685,False,True,False,False,False,False,False,False,False,False
14227661,199.99999869545303,False,False,True,False,False,False,False,False,False,False
14227663,540.2902660114595,False,False,False,False,True,False,False,False,False,False
14227664,529.410422226837,False,False,False,False,True,False,False,False,False,False
14227665,541.2916217234333,False,False,False,False,True,False,False,False,False,False
14227666,389.00715820735803,False,False,False,True,False,False,False,False,False,False
14227667,696.1597008000319,False,False,False,False,True,False,False,False,False,False
14227668,49.999537957172,True,False,False,False,False,False,False,False,False,False
14227669,506.80549029518943,False,False,False,False,True,False,False,False,False,False
14227670,93.19437459271268,False,True,False,False,False,False,False,False,False,False
14227671,0.9996729505317072,True,False,False,False,False,False,False,False,False,False
14227672,482.73863353789477,False,False,False,True,False,False,False,False,False,False
14227673,617.5528734379515,False,False,False,False,True,False,False,False,False,False
14227674,482.74417709702686,False,False,False,True,False,False,False,False,False,False
14227675,1253.3402825724506,False,False,False,False,True,False,False,False,False,False
