amount,date,price,tid,type,satoshi,volume
0.00095612,1665005150,104588.48600684,14286465,buy,95612,99.99914324085987
0.00013608,1665005168,104483.0875933,14286466,sell,13608,14.218058559696265
0.00478064,1665005213,104588.48600684,14286467,buy,478064,499.9998997437396
5.53e-05,1665005232,104462.58523834,14286468,sell,5530,5.776780963680203
0.0031,1665005309,104573.82312898,14286469,buy,310000,324.178851699838
0.00271,1665005309,104590.86494909,14286470,buy,271000,283.4412440120339
0.00047787,1665005339,104630.64182599,14286471,buy,47787,49.999844809385834
0.00095585,1665005361,104618.10825241,14286472,buy,95585,99.9992187730661
0.00047819,1665005496,104560.89695261,14286473,buy,47819,49.99997531376857
6.857e-05,1665005524,104563.34906755,14286474,buy,6857,7.169908845561904
1.64e-05,1665005525,104459.77699013,14286475,sell,1639,1.713140342638132
0.0121,1665005565,104474.93136171,14286476,sell,1210000,1264.146669476691
0.00666,1665005565,104439.25387642,14286477,sell,666000,695.5654308169572
0.0068,1665005565,104438.61335192,14286478,sell,680000,710.1825707930559
0.00842,1665005565,104437.69099664,14286479,sell,842000,879.3653581917089
0.00322,1665005565,104437.59550026,14286480,sell,322000,336.2890575108372
0.00825,1665005565,104437.34860718,14286481,sell,825000,861.6081260092351
0.00352917,1665005565,104437.02950952,14286482,sell,352917,368.5760314341127
0.00095641,1665005595,104557.37545397,14286483,buy,95641,99.99971945793145
6.68e-05,1665005600,104783.72597963,14286484,buy,6680,6.999552895439284
9.5e-06,1665005613,104472.18845042,14286485,sell,950,0.9924857902789901
0.00013284,1665005664,104633.5,14286486,buy,13284,13.89951414
0.01303,1665005697,104704.52042866,14286487,buy,1303000,1364.29990118544
0.01262,1665005697,104704.94211443,14286488,buy,1262000,1321.3763694841066
0.0072,1665005697,104705.74404863,14286489,buy,720000,753.881357150136
0.00658,1665005697,104705.74404864,14286490,buy,658000,688.9637958400511
0.01276,1665005697,104706.00729756,14286491,buy,1276000,1336.0486531168658
0.00511364,1665005697,104706.02435999,14286492,buy,511364,535.4289144082193
0.00264115,1665005766,104547.72986192,14286493,sell,264115,276.12623672481004
0.0004827,1665005788,104559.47824583,14286494,sell,48270,50.470860149262144
0.00290385,1665005796,104563.54266494,14286495,sell,290385,303.63684336758604
0.00362612,1665005871,104789.62969504,14286496,buy,362612,379.9797720297785
0.00014662,1665005884,104606.16177286,14286497,sell,14662,15.337355439136733
4.151e-05,1665005910,104771.33871631,14286498,buy,4151,4.349058270114028
5.73e-05,1665005939,104483.02450265,14286499,sell,5730,5.986877304001845
0.00086222,1665005952,104489.24108408,14286500,sell,86222,90.09271344751546
5.09e-05,1665005955,104712.53587782,14286501,buy,5090,5.329868076181038
5.672e-05,1665006020,104711.34556647,14286502,buy,5672,5.939227520530179
0.0002335,1665006034,104526.62490091,14286503,sell,23350,24.406966914362485
0.00124827,1665006100,104487.58903228,14286504,sell,124826,130.42872276132414
0.00191002,1665006183,104710.92144321,14286505,buy,191002,199.99995417495995
0.00288998,1665006223,104710.92144321,14286506,buy,288998,302.612468752448
0.00188417,1665006223,104760.98726556,14286507,buy,188417,197.38750937615018
0.00019072,1665006258,104808.4287914,14286508,buy,19072,19.989063539095806
0.00349,1665006259,104569.34057523,14286509,sell,349000,364.9469986075527
0.0082,1665006259,104567.98570278,14286510,sell,820000,857.4574827627961
0.00345,1665006259,104567.67754071,14286511,sell,345000,360.75848751544953
0.00661,1665006259,104567.37945002,14286512,sell,661000,691.1903781646323
0.00676,1665006259,104566.80414256,14286513,sell,676000,706.8715960037056
0.01417,1665006259,104566.78138561,14286514,sell,1417000,1481.7112922340937
0.00837,1665006259,104566.45310234,14286515,sell,837000,875.2212124665859
0.01126,1665006259,104566.24800339,14286516,sell,1126000,1177.4159525181715
0.0082,1665006259,104566.03389726,14286517,sell,820000,857.4414779575321
0.01102,1665006259,104565.68634333,14286518,sell,1102000,1152.3138635034966
0.01464,1665006259,104564.24266913,14286519,sell,1464000,1530.8205126760633
0.0038299,1665006259,104564.13976781,14286520,sell,382990,400.4701988967355
4.83e-05,1665006291,104586.76110161,14286521,sell,4830,5.051540561207763
3.415e-05,1665006355,104827.22634591,14286522,buy,3415,3.579849779712827
0.0008264,1665006376,104617.73721677,14286523,sell,82640,86.45609803593872
4.98e-05,1665006426,104819.16312899,14286524,buy,4980,5.219994323823702
0.01332,1665006470,104822.63411475,14286525,buy,1332000,1396.2374864084702
0.02196,1665006470,104825.65172737,14286526,buy,2196000,2301.9713119330454
0.0165,1665006470,104826.7900352,14286527,buy,1650000,1729.6420355808
0.00439504,1665006470,104826.94359707,14286528,buy,439504,460.71861018686656
0.0012905,1665006537,104521.31339395,14286529,sell,129050,134.88475493489247
9.487e-05,1665006547,104774.66,14286530,buy,9487,9.9399719942
0.0086,1665006577,104540.8854935,14286531,sell,860000,899.0516152440999
0.003,1665006577,104540.88549349,14286532,sell,300000,313.62265648047
0.05,1665006577,104539.8404,14286533,sell,5000000,5226.992020000001
0.00608,1665006577,104539.59512778,14286534,sell,608000,635.6007383769024
0.00753,1665006577,104538.41486712,14286535,sell,753000,787.1742639494136
0.01303,1665006577,104523.23970318,14286536,sell,1303000,1361.9378133324356
0.0117599,1665006577,104523.14187762,14286537,sell,1175990,1229.1816961666234
0.01010525,1665006602,104593.09845125,14286538,buy,1010525,1056.939408124494
0.0087,1665006689,104479.63624723,14286539,sell,869999,908.9728353509009
0.00554,1665006689,104479.63624722,14286540,sell,554000,578.8171848095988
0.00566,1665006689,104479.58966362,14286541,sell,566000,591.3544774960892
0.00715,1665006689,104478.72553784,14286542,sell,715000,747.022887595556
0.0105,1665006689,104478.45140001,14286543,sell,1050000,1097.0237397001051
0.0454104,1665006689,104478.4514,14286544,sell,4541040,4744.40826945456
0.00045439,1665006703,104486.18434678,14286545,sell,45439,47.477477305333366
0.00895,1665006778,104480.86406114,14286546,sell,895000,935.103733347203
0.00943,1665006778,104479.42229872,14286547,sell,942999,985.2409522769295
0.01187,1665006778,104478.85630798,14286548,sell,1187000,1240.1640243757226
0.00565,1665006778,104477.71738398,14286549,sell,565000,590.2991032194869
0.00679,1665006778,104477.5869499,14286550,sell,679000,709.402815389821
0.00651,1665006778,104477.41691976,14286551,sell,651000,680.1479841476377
0.00134629,1665006778,104477.32608174,14286552,sell,134629,140.65677933058575
0.00286581,1665006849,104682.19300476,14286553,buy,286581,299.9992755349713
0.00447532,1665006936,104680.20675537,14286554,buy,447531,468.4774228964424
0.0085,1665007000,104741.71878659,14286555,buy,850000,890.304609686015
0.02373,1665007000,104764.92477476,14286556,buy,2373000,2486.071664905055
0.00423452,1665007000,104765.93145813,14286557,buy,423452,443.63343207808066
0.00985548,1665007006,104761.9900368,14286558,buy,985548,1032.4796975678817
0.00025822,1665007022,104754.88231596,14286559,buy,25821,27.04980571162719
0.00286191,1665007067,104564.39876001,14286560,sell,286191,299.2538984552602
0.0002966,1665007071,104564.39877001,14286561,sell,29660,31.013800675184964
0.00038169,1665007142,104795.43172736,14286562,buy,38169,39.99936833601604
0.01378,1665007233,104736.2588122,14286563,buy,1378000,1443.265646432116
0.01593,1665007239,104735.06687959,14286564,buy,1593000,1668.4296153918685
0.00632717,1665007239,104735.27162875,14286565,buy,632717,662.6778685912781
0.0019407,1665007277,104735.33744097,14286566,buy,194070,203.25986937169048
0.00047739,1665007320,104735.208254,14286567,buy,47739,49.99954106837706
0.00667028,1665007387,104794.08468573,14286568,buy,667028,699.0058871975311
0.00095494,1665007541,104717.83894121,14286569,buy,95494,99.99925311851908
0.00065484,1665007586,104544.7968,14286570,sell,65483,68.460114736512
1.91e-05,1665007726,104662.84331771,14286571,buy,1910,1.999060307368261
0.00058811,1665007735,104604.83145173,14286572,buy,58811,61.51914742507693
0.00066924,1665007753,104595.74738818,14286573,buy,66924,69.99965798206559
0.00867135,1665007801,104582.5532548,14286574,buy,867135,906.87192316601
0.00020424,1665007811,104482.72294468,14286575,sell,20424,21.339551334221444
3.586e-05,1665007904,104569.04461322,14286576,buy,3586,3.749845939830069
4.11e-05,1665007919,104479.8362,14286577,sell,4110,4.2941212678200005
0.0002116,1665007976,104495.80285001,14286578,sell,21160,22.111311883062115
0.000656,1665007986,104495.81295001,14286579,sell,65600,68.54925329520657
0.00171081,1665008023,104502.64430001,14286580,sell,171081,178.78416889490012
7.646e-05,1665008073,104620.23,14286581,buy,7646,7.999262785799999
0.0005473,1665008128,104620.23,14286582,buy,54730,57.258651879
0.01235624,1665008128,104622.53868318,14286583,buy,1235624,1292.741197378656
0.0029056,1665008132,104521.85466424,14286584,sell,290560,303.69870091241575
