tid,volume,50,100,200,500,1500,3000,5000,10000,20000,0
14227485,325.880769322969,False,False,False,True,False,False,False,False,False,False
14227487,100.00352000000001,False,False,True,False,False,False,False,False,False,False
14227488,756.056659992389,False,False,False,False,True,False,False,False,False,False
14227492,7.607354035727267,True,False,False,False,False,False,False,False,False,False
14227495,7.087419504661375,True,False,False,False,False,False,False,False,False,False
14227501,1106.3740220018171,False,False,False,False,True,False,False,False,False,False
14227502,1654.5779212012249,False,False,False,False,False,True,False,False,False,False
14227503,660.6285854169744,False,False,False,False,True,False,False,False,False,False
14227504,620.4040554238408,False,False,False,False,True,False,False,False,False,False
14227505,630.8813401321416,False,False,False,False,True,False,False,False,False,False
14227506,261.87022914755653,False,False,False,True,False,False,False,False,False,False
14227508,1310.0319784765045,False,False,False,False,True,False,False,False,False,False
14227509,2718.9747218644998,False,False,False,False,False,True,False,False,False,False
14227510,1588.1137386346384,False,False,False,False,False,True,False,False,False,False
14227511,1227.0398728559326,False,False,False,False,True,False,False,False,False,False
14227512,1227.0112337710723,False,False,False,False,True,False,False,False,False,False
14227513,1848.2488692354955,False,False,False,False,False,True,False,False,False,False
14227514,170.8129998849209,False,False,True,False,False,False,False,False,False,False
14227516,1871.7047798942365,False,False,False,False,False,True,False,False,False,False
14227517,553.4344855357343,False,False,False,False,True,False,False,False,False,False
14227518,16958.510496,False,False,False,False,False,False,False,False,True,False
14227519,2624.1074154000003,False,False,False,False,False,True,False,False,False,False
14227520,9918.0,False,False,False,False,False,False,False,True,False,False
14227522,7.9324164,True,False,False,False,False,False,False,False,False,False
14227524,279.6876,False,False,False,True,False,False,False,False,False,False
14227525,14877.0,False,False,False,False,False,False,False,False,True,False
14227526,4924.7620722,False,False,False,False,False,False,True,False,False,False
14227527,276.014311,False,False,False,True,False,False,False,False,False,False
14227528,4.144408170589803,True,False,False,False,False,False,False,False,False,False
14227529,547.0581898589231,False,False,False,False,True,False,False,False,False,False
14227530,558.9403944458496,False,False,False,False,True,False,False,False,False,False
14227531,22434.257999999998,False,False,False,False,False,False,False,False,False,True
14227532,542.887638,False,False,False,False,True,False,False,False,False,False
14227533,50034.598009,False,False,False,False,False,False,False,False,False,True
14227534,12.19921,True,False,False,False,False,False,False,False,False,False
14227537,14864.999009,False,False,False,False,False,False,False,False,True,False
14227538,10935.043823,False,False,False,False,False,False,False,False,True,False
14227539,841.5592020201999,False,False,False,False,True,False,False,False,False,False
14227540,858.86856,False,False,False,False,True,False,False,False,False,False
14227541,19.99998,True,False,False,False,False,False,False,False,False,False
14227542,4.95,True,False,False,False,False,False,False,False,False,False
14227543,495.0,False,False,False,True,False,False,False,False,False,False
14227544,775.37988,False,False,False,False,True,False,False,False,False,False
14227545,99.99990000000001,False,True,False,False,False,False,False,False,False,False
14227546,499.9995,False,False,False,True,False,False,False,False,False,False
14227547,25.74,True,False,False,False,False,False,False,False,False,False
14227548,539.473639366352,False,False,False,False,True,False,False,False,False,False
14227549,2.009387583,True,False,False,False,False,False,False,False,False,False
14227550,1380.4219468042832,False,False,False,False,True,False,False,False,False,False
14227551,1897.9384349694076,False,False,False,False,False,True,False,False,False,False
14227552,1337.8528527092665,False,False,False,False,True,False,False,False,False,False
14227553,758.9735177900668,False,False,False,False,True,False,False,False,False,False
14227556,6.4122336900070565,True,False,False,False,False,False,False,False,False,False
14227557,158.320128,False,False,True,False,False,False,False,False,False,False
14227558,968.5134517875,False,False,False,False,True,False,False,False,False,False
14227559,21939.3883267125,False,False,False,False,False,False,False,False,False,True
14227562,546.0922156845743,False,False,False,False,True,False,False,False,False,False
14227563,1091.7603168313726,False,False,False,False,True,False,False,False,False,False
14227564,1256.8762491492694,False,False,False,False,True,False,False,False,False,False
14227565,1977.6066,False,False,False,False,False,True,False,False,False,False
14227566,1225.740000000124,False,False,False,False,True,False,False,False,False,False
14227567,253.854708,False,False,False,True,False,False,False,False,False,False
14227568,1235.000000000125,False,False,False,False,True,False,False,False,False,False
14227569,27.885312000000003,True,False,False,False,False,False,False,False,False,False
14227572,72.11412,False,True,False,False,False,False,False,False,False,False
14227573,9.871500000000001,True,False,False,False,False,False,False,False,False,False
14227574,49.9991475,True,False,False,False,False,False,False,False,False,False
14227575,999.9994227999999,False,False,False,False,True,False,False,False,False,False
14227576,2209.275599604703,False,False,False,False,False,True,False,False,False,False
14227577,1682.8343008581066,False,False,False,False,False,True,False,False,False,False
14227578,1009.4973060841473,False,False,False,False,True,False,False,False,False,False
14227579,1212.836485280438,False,False,False,False,True,False,False,False,False,False
14227580,100.110637409733,False,False,True,False,False,False,False,False,False,False
14227586,386.58239656083924,False,False,False,True,False,False,False,False,False,False
14227587,40.45451831671811,True,False,False,False,False,False,False,False,False,False
14227592,995.5359920001009,False,False,False,False,True,False,False,False,False,False
14227593,299.93922352239997,False,False,False,True,False,False,False,False,False,False
14227594,850.6135548048724,False,False,False,False,True,False,False,False,False,False
14227598,1.9900155605672518,True,False,False,False,False,False,False,False,False,False
14227618,1048.0369770795512,False,False,False,False,True,False,False,False,False,False
14227619,1252.1171944742168,False,False,False,False,True,False,False,False,False,False
14227620,608.7340276769672,False,False,False,False,True,False,False,False,False,False
14227621,1.9945323335172187,True,False,False,False,False,False,False,False,False,False
14227628,500.83981931507697,False,False,False,False,True,False,False,False,False,False
14227629,301.25161161067876,False,False,False,True,False,False,False,False,False,False
14227649,9.854240055432001,True,False,False,False,False,False,False,False,False,False
